cluster,scheduler,seed,arrival,phase,makespan,imbalance,epsilon,locality
skewed_8,HEFT-LC,1,474.71663556997123,burst,25.143598362375656,0.00783356464724584,0.05,0.5555555555555556
skewed_8,HEFT-LC,1,475.6758550449455,burst,34.2129698094509,0.0068581348647429215,0.05,0.3888888888888889
skewed_8,HEFT-LC,1,477.78533104969483,burst,20.904176750693523,0.0044963134440580855,0.05,0.375
skewed_8,HEFT-LC,1,478.52587739687607,burst,12.434853115986016,0.0023181919970835445,0.05,0.375
skewed_8,HEFT-LC,1,478.84203596151053,burst,10.991986909297339,0.002166389449814099,0.05,0.125
skewed_8,HEFT-LC,1,490.1725097796844,burst,14.275683078061547,0.0061527749198589145,0.05,0.375
skewed_8,HEFT-LC,1,491.52906425592954,burst,23.34752066584406,0.0060583231530977645,0.05,0.1
skewed_8,HEFT-LC,1,492.4662887380711,burst,6.043065535232813,0.0037488895165202502,0.05,0.5
skewed_8,HEFT-LC,1,495.13691713660876,burst,14.993334801659216,0.004663956081458529,0.05,0.2857142857142857
skewed_8,HEFT-LC,1,499.76762905942985,burst,12.23528116595378,0.002414811091673631,0.05,0.5
skewed_8,HEFT-LC,1,502.08766388507365,burst,26.916675212157884,0.010898581462614177,0.05,0.14285714285714285
skewed_8,HEFT-LC,1,507.0778059596189,burst,19.865106746786523,0.0041658551633920755,0.05,0.45454545454545453
skewed_8,HEFT-LC,1,507.4545786000039,burst,31.921226914565523,0.008681488459407721,0.05,0.3333333333333333
